Latitude,Longitude,Time,Label,Location
18.380782,-65.957387,Mon Oct 05 08:23:25 +0000 2015,1,South Carolina North Carolina
53.480759,-2.242631,Mon Oct 05 08:23:26 +0000 2015,1,Manchester  England
51.507351,-0.127758,Mon Oct 05 08:23:27 +0000 2015,1,London  UK
53.480759,-2.242631,Mon Oct 05 08:23:39 +0000 2015,1,Manchester
38.627003,-90.199404,Mon Oct 05 08:23:40 +0000 2015,1,St. Louis
30.476639,74.511172,Mon Oct 05 08:23:47 +0000 2015,1,Muktsar
51.507351,-0.127758,Mon Oct 05 08:23:53 +0000 2015,1,London 
48.801408,2.130122,Mon Oct 05 08:23:58 +0000 2015,1,Versailles  Ile de France
37.713617,-122.250368,Mon Oct 05 08:23:58 +0000 2015,1,Bay Area
46.409986,-62.313048,Mon Oct 05 08:23:58 +0000 2015,1,New Zealand   Canada
51.924420,4.477733,Mon Oct 05 08:23:59 +0000 2015,1,Rotterdam  Nederland
25.216667,55.166667,Mon Oct 05 08:24:02 +0000 2015,1,World
34.000710,-81.034814,Mon Oct 05 08:24:03 +0000 2015,1,Columbia  SC
35.149534,-90.048980,Mon Oct 05 08:24:05 +0000 2015,1,Memphis  Tennessee
38.907192,-77.036871,Mon Oct 05 08:24:06 +0000 2015,1,Washington  DC
53.480759,-2.242631,Mon Oct 05 08:24:06 +0000 2015,1,Manchester  England
-6.917464,107.619123,Mon Oct 05 08:24:10 +0000 2015,1,Bandung  Indonesia
54.978252,-1.617780,Mon Oct 05 08:24:13 +0000 2015,1,Newcastle
27.664827,-81.515754,Mon Oct 05 08:24:16 +0000 2015,1,Florida 
50.768035,0.290472,Mon Oct 05 08:24:24 +0000 2015,1,Eastbourne East Sussex England
51.545927,0.707712,Mon Oct 05 08:24:25 +0000 2015,1,Southend on Sea              
29.903840,73.877190,Mon Oct 05 08:24:27 +0000 2015,1,sri ganganagar
52.520007,13.404954,Mon Oct 05 08:24:27 +0000 2015,1,Berlin  Deutschland
